symbol,underlying_symbol,underlying_price,expiration_date,strike,contract_type,mark,bid,ask,delta,gamma,theta,vega,rho,open_interest,total_volume,volatility
SPXW241016C05780000,SPX,5841.88,2024-10-16,5780.0,CALL,64.37,64.345,64.395,0.8954826386293117,0.0036472364010520417,-1384.9150019113792,60.36768753813573,16.7987183613667,0,1,14.9174
SPXW_2024-10-16_C_5785.0,SPX,5841.88,2024-10-16,5785.0,CALL,60.48416666666667,60.48416666666667,60.48416666666667,0.8641267508362076,0.004176195631499055,-1751.367940295623,72.64239233158108,16.215806265557532,0,0,15.6769
SPXW_2024-10-16_C_5790.0,SPX,5841.88,2024-10-16,5790.0,CALL,56.59833333333333,56.59833333333333,56.59833333333333,0.8350871397587469,0.0046183540668361485,-2050.5071970624217,82.65807459882488,15.676887413851253,0,0,16.1306
SPXW_2024-10-16_C_5795.0,SPX,5841.88,2024-10-16,5795.0,CALL,52.7125,52.7125,52.7125,0.8072598033308775,0.005020286711490699,-2295.7724510569965,91.18842268614779,15.160993459546198,0,0,16.3705
SPXW_2024-10-16_C_5800.0,SPX,5841.88,2024-10-16,5800.0,CALL,48.82666666666667,48.82666666666667,48.82666666666667,0.7799525663201494,0.005406364148984393,-2494.5185584303886,98.64090319442145,14.654977751936707,0,0,16.4438
SPXW_2024-10-16_C_5805.0,SPX,5841.88,2024-10-16,5805.0,CALL,44.94083333333334,44.94083333333334,44.94083333333334,0.7526511312595956,0.0057921531545713075,-2650.9310350134897,105.2519756193333,14.149072277487816,0,0,16.3773
SPXW_2024-10-16_C_5810.0,SPX,5841.88,2024-10-16,5810.0,CALL,41.05500000000001,41.05500000000001,41.05500000000001,0.724913302524961,0.00618944752524849,-2767.2528776097593,111.16328950345834,13.63487834680944,0,0,16.1868
SPXW_2024-10-16_C_5815.0,SPX,5841.88,2024-10-16,5815.0,CALL,37.16916666666667,37.16916666666667,37.16916666666667,0.6963089702545668,0.006608664621609915,-2844.3118020331417,116.45455529863145,13.104226775903081,0,0,15.8816
SPXW_2024-10-16_C_5820.0,SPX,5841.88,2024-10-16,5820.0,CALL,33.28333333333333,33.28333333333333,33.28333333333333,0.6663733908746399,0.007060310568111388,-2881.7177847299586,121.15703853518684,12.548290739821029,0,0,15.4659
SPXW_2024-10-16_C_5825.0,SPX,5841.88,2024-10-16,5825.0,CALL,29.397499999999997,29.397499999999997,29.397499999999997,0.6345559084635045,0.007556100459405444,-2877.8820588925187,125.25537766995757,11.956611485346722,0,0,14.94
SPXW_2024-10-16_C_5830.0,SPX,5841.88,2024-10-16,5830.0,CALL,25.511666666666663,25.511666666666663,25.511666666666663,0.6001526317336378,0.008110151970549685,-2829.7994416150864,128.67771718124027,11.315819926341769,0,0,14.2997
