type,mark,ask,bid,delta,strike,description,underlying_price,volatility,expiration
CALL,1183.46,1183.96,1182.96,1.0,4720.0,SPXW_2025-01-03_C_4720,5903.46,18.4063,2025-01-03
CALL,1178.46,1178.96,1177.96,1.0,4725.0,SPXW_2025-01-03_C_4725,5903.46,18.4063,2025-01-03
CALL,1173.46,1173.96,1172.96,1.0,4730.0,SPXW_2025-01-03_C_4730,5903.46,18.4063,2025-01-03
CALL,1168.46,1168.96,1167.96,1.0,4735.0,SPXW_2025-01-03_C_4735,5903.46,18.4063,2025-01-03
CALL,1163.46,1163.96,1162.96,1.0,4740.0,SPXW_2025-01-03_C_4740,5903.46,18.4063,2025-01-03
CALL,1158.46,1158.96,1157.96,1.0,4745.0,SPXW_2025-01-03_C_4745,5903.46,18.4063,2025-01-03
CALL,1153.46,1153.96,1152.96,1.0,4750.0,SPXW_2025-01-03_C_4750,5903.46,18.4063,2025-01-03
CALL,1148.46,1148.96,1147.96,1.0,4755.0,SPXW_2025-01-03_C_4755,5903.46,18.4063,2025-01-03
CALL,1143.46,1143.96,1142.96,1.0,4760.0,SPXW_2025-01-03_C_4760,5903.46,18.4063,2025-01-03
CALL,1138.46,1138.96,1137.96,1.0,4765.0,SPXW_2025-01-03_C_4765,5903.46,18.4063,2025-01-03
CALL,1133.46,1133.96,1132.96,1.0,4770.0,SPXW_2025-01-03_C_4770,5903.46,18.4063,2025-01-03
CALL,1128.46,1128.96,1127.96,1.0,4775.0,SPXW_2025-01-03_C_4775,5903.46,18.4063,2025-01-03
CALL,1123.46,1123.96,1122.96,1.0,4780.0,SPXW_2025-01-03_C_4780,5903.46,18.4063,2025-01-03
CALL,1118.46,1118.96,1117.96,1.0,4785.0,SPXW_2025-01-03_C_4785,5903.46,18.4063,2025-01-03
CALL,1113.46,1113.96,1112.96,1.0,4790.0,SPXW_2025-01-03_C_4790,5903.46,18.4063,2025-01-03
CALL,1108.46,1108.96,1107.96,1.0,4795.0,SPXW_2025-01-03_C_4795,5903.46,18.4063,2025-01-03
CALL,1103.46,1103.96,1102.96,1.0,4800.0,SPXW_2025-01-03_C_4800,5903.46,18.4063,2025-01-03
CALL,1098.46,1098.96,1097.96,1.0,4805.0,SPXW_2025-01-03_C_4805,5903.46,18.4063,2025-01-03
CALL,1093.46,1093.96,1092.96,1.0,4810.0,SPXW_2025-01-03_C_4810,5903.46,18.4063,2025-01-03
CALL,1088.46,1088.96,1087.96,1.0,4815.0,SPXW_2025-01-03_C_4815,5903.46,18.4063,2025-01-03
CALL,1083.46,1083.96,1082.96,1.0,4820.0,SPXW_2025-01-03_C_4820,5903.46,18.4063,2025-01-03
CALL,1078.46,1078.96,1077.96,1.0,4825.0,SPXW_2025-01-03_C_4825,5903.46,18.4063,2025-01-03
CALL,1073.46,1073.96,1072.96,1.0,4830.0,SPXW_2025-01-03_C_4830,5903.46,18.4063,2025-01-03
CALL,1068.46,1068.96,1067.96,1.0,4835.0,SPXW_2025-01-03_C_4835,5903.46,18.4063,2025-01-03
CALL,1063.46,1063.96,1062.96,1.0,4840.0,SPXW_2025-01-03_C_4840,5903.46,18.4063,2025-01-03
CALL,1058.46,1058.96,1057.96,1.0,4845.0,SPXW_2025-01-03_C_4845,5903.46,18.4063,2025-01-03
CALL,1053.46,1053.96,1052.96,1.0,4850.0,SPXW_2025-01-03_C_4850,5903.46,18.4063,2025-01-03
CALL,1048.46,1048.96,1047.96,1.0,4855.0,SPXW_2025-01-03_C_4855,5903.46,18.4063,2025-01-03
CALL,1043.46,1043.96,1042.96,1.0,4860.0,SPXW_2025-01-03_C_4860,5903.46,18.4063,2025-01-03
CALL,1038.46,1038.96,1037.96,1.0,4865.0,SPXW_2025-01-03_C_4865,5903.46,18.4063,2025-01-03
CALL,1033.46,1033.96,1032.96,1.0,4870.0,SPXW_2025-01-03_C_4870,5903.46,18.4063,2025-01-03
CALL,1028.46,1028.96,1027.96,1.0,4875.0,SPXW_2025-01-03_C_4875,5903.46,18.4063,2025-01-03
CALL,1023.46,1023.96,1022.96,1.0,4880.0,SPXW_2025-01-03_C_4880,5903.46,18.4063,2025-01-03
